"Identificador URL";Nome;Categorias;"Nome da variação 1";"Valor da variação 1";"Nome da variação 2";"Valor da variação 2";"Nome da variação 3";"Valor da variação 3";Preço;"Preço promocional";"Peso (kg)";"Altura (cm)";"Largura (cm)";"Comprimento (cm)";Estoque;SKU;"Código de barras";"Exibir na loja";"Frete gratis";Descrição;Tags;"Título para SEO";"Descrição para SEO";Marca;"Produto Físico";"MPN (Cód. Exclusivo, Modelo Fabricante)";Sexo;"Faixa etária";Custo
sutia-power-sem-bojo-duhellen-preto-5245;"Sutiã Power Sem Bojo Duhellen Preto 5245";"Sutiãs > Tomara Que Caia, Sutiãs > Básicos, Sutiãs > Multifuncional";Cor;Preto;Tamanho;"M (44)";;;149.00;;0.06;5.00;15.00;15.00;1;5245PTOM;;SIM;NÃO;;;;;Duhellen;SIM;;;;
sutia-power-sem-bojo-duhellen-preto-5245;;;Cor;Preto;Tamanho;"G (46)";;;149.00;;0.06;5.00;15.00;15.00;3;5245PTOG;;;;;;;;;;;;;
sutia-power-sem-bojo-duhellen-preto-5245;;;Cor;Preto;Tamanho;"GG (48)";;;149.00;;0.06;5.00;15.00;15.00;2;5245PTOGG;;;;;;;;;;;;;
sutia-power-sem-bojo-duhellen-bege-5245;"Sutiã Power Sem Bojo Duhellen Bege 5245";"Sutiãs > Tomara Que Caia, Sutiãs > Básicos, Sutiãs > Multifuncional";Cor;Bege;Tamanho;"P (42)";;;149.00;;0.06;5.00;15.00;15.00;1;5245BEGP;;SIM;NÃO;;;;;Duhellen;SIM;;;;
sutia-power-sem-bojo-duhellen-bege-5245;;;Cor;Bege;Tamanho;"G (46)";;;149.00;;0.06;5.00;15.00;15.00;2;5245BEGG;7899990229224;;;;;;;;;;;;
sutia-power-sem-bojo-duhellen-bege-5245;;;Cor;Bege;Tamanho;"GG (48)";;;149.00;;0.06;5.00;15.00;15.00;4;5245BEGGG;7899990229231;;;;;;;;;;;;
sutia-biquini-s-alca-super-sustentacao-duhellen-animal-9000;"Sutiã Biquíni S/ Alça Super Sustentação Duhellen Animal 9000";"OUTLET > Moda praia - Duhellen";Cor;"Animal Print";Tamanho;"M (44)";;;149.00;119.00;0.10;8.00;16.00;35.00;3;9000ANPM;7899991012221;SIM;NÃO;;;"Sutiã Biquíni Sem Alça Duhellen - Conforto Ideal";"Experimente o sutiã biquíni sem alça Duhellen, perfeito para qualquer corpo. Conforto e sustentação garantidos. Compre já e aproveite seu verão!";Duhellen;SIM;;;;
sutia-biquini-sem-alca-super-sustentacao-duhellen-cobre-9000;"Sutiã Biquíni Sem Alça Super Sustentação Duhellen Cobre 9000";"OUTLET > Moda praia - Duhellen";Cor;Cobre;Tamanho;"M (44)";;;149.00;119.00;0.10;8.00;16.00;35.00;5;9000CBRM;7899991012542;SIM;NÃO;;;;;Duhellen;SIM;;;;
sutia-biquini-sem-alca-super-sustentacao-duhellen-cobre-9000;;;Cor;Cobre;Tamanho;"G (46)";;;149.00;119.00;0.10;8.00;16.00;35.00;3;9000CBRG;7899991012559;;;;;;;;;;;;
sutia-biquini-sem-alca-super-sustentacao-duhellen-cobre-9000;;;Cor;Cobre;Tamanho;"GG (48)";;;149.00;119.00;0.10;8.00;16.00;35.00;4;9000CBRGG;7899991012566;;;;;;;;;;;;
sutia-biquini-sem-alca-super-sustentacao-duhellen-preto-9000;"Sutiã Biquíni Sem Alça Super Sustentação Duhellen Preto 9000";"OUTLET > Moda praia - Duhellen";Tamanho;"P (42)";;;;;149.00;119.00;0.10;8.00;16.00;35.00;2;9000PTOP;7899991012856;SIM;NÃO;;;;;Duhellen;SIM;;;;
sutia-biquini-sem-alca-super-sustentacao-duhellen-preto-9000;;;Tamanho;"M (44)";;;;;149.00;119.00;0.10;8.00;16.00;35.00;14;9000PTOM;7899991012863;;;;;;;;;;;;
sutia-biquini-sem-alca-super-sustentacao-duhellen-preto-9000;;;Tamanho;"G (46)";;;;;149.00;119.00;0.10;8.00;16.00;35.00;8;9000PTOG;7899991011842;;;;;;;;;;;;
sutia-biquini-sem-alca-super-sustentacao-duhellen-preto-9000;;;Tamanho;"GG (48)";;;;;149.00;119.00;0.10;8.00;16.00;35.00;11;9000PTOGG;7899991011859;;;;;;;;;;;;
sutia-biquini-sem-alca-super-sustentacao-duhellen-branco-9000;"Sutiã Biquíni Sem Alça Super Sustentação Duhellen Branco 9000";"OUTLET > Moda praia - Duhellen";Cor;Branco;Tamanho;"P (42)";;;149.00;119.00;0.10;8.00;16.00;35.00;3;9000BCOP;;SIM;NÃO;;;;;Duhellen;SIM;;;;
sutia-biquini-sem-alca-super-sustentacao-duhellen-branco-9000;;;Cor;Branco;Tamanho;"M (44)";;;149.00;119.00;0.10;8.00;16.00;35.00;8;9000BCOM;;;;;;;;;;;;;
sutia-biquini-sem-alca-super-sustentacao-duhellen-branco-9000;;;Cor;Branco;Tamanho;"G (46)";;;149.00;119.00;0.10;8.00;16.00;35.00;7;9000BCOG;7899991013518;;;;;;;;;;;;
